Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Maida,North Dakota,3416,US-Canada Border,Jan 2019,Personal Vehicle Passengers,828,49.000,-98.365,POINT (-98.36525 49.00025)
Roseau,Minnesota,3426,US-Canada Border,Aug 2018,Truck Containers Loaded,138,49.000,-95.766,POINT (-95.766469 48.999538)
Otay Mesa,California,2506,US-Mexico Border,Aug 2018,Trucks,89686,32.550,-116.939,POINT (-116.938538 32.55033)
San Ysidro,California,2504,US-Mexico Border,Apr 2018,Buses,2732,32.543,-117.029,POINT (-117.028761 32.542528)
Sarles,North Dakota,3409,US-Canada Border,Apr 2019,Personal Vehicles,266,49.000,-98.938,POINT (-98.938361 49.000027)
Baudette,Minnesota,3424,US-Canada Border,Sep 2017,Bus Passengers,77,48.719,-94.590,POINT (-94.590467 48.719109)
Nogales,Arizona,2604,US-Mexico Border,Aug 2017,Bus Passengers,17679,31.333,-110.943,POINT (-110.942516 31.332839)
Laredo,Texas,2304,US-Mexico Border,Oct 2017,Trucks,195779,27.500,-99.507,POINT (-99.507412 27.499561)
Boquillas,Texas,2410,US-Mexico Border,Jun 2018,Pedestrians,823,29.190,-102.947,POINT (-102.946705 29.190074)
San Luis,Arizona,2608,US-Mexico Border,Jul 2018,Personal Vehicles,268234,32.485,-114.782,POINT (-114.7822222 32.485)
Danville,Washington,3012,US-Canada Border,Sep 2019,Trucks,51,49.000,-118.504,POINT (-118.503722 49.000083)
Opheim,Montana,3317,US-Canada Border,Jul 2018,Personal Vehicles,439,49.000,-106.378,POINT (-106.377583 48.999527)
Otay Mesa,California,2506,US-Mexico Border,Sep 2017,Personal Vehicle Passengers,1089055,32.550,-116.939,POINT (-116.938538 32.55033)
Calexico East,California,2507,US-Mexico Border,Jul 2019,Bus Passengers,7400,32.673,-115.388,POINT (-115.388018 32.673389)
Northgate,North Dakota,3406,US-Canada Border,Apr 2019,Trains,17,48.999,-102.275,POINT (-102.27475 48.998833)
Calexico,California,2503,US-Mexico Border,Feb 2018,Personal Vehicles,349649,32.673,-115.388,POINT (-115.388018 32.673389)
Grand Portage,Minnesota,3613,US-Canada Border,Jul 2020,Trucks,1159,48.001,-89.585,POINT (-89.58515 48.001427)
Houlton,Maine,0106,US-Canada Border,Jun 2020,Personal Vehicle Passengers,1048,46.135,-67.781,POINT (-67.781288 46.134879)
Laredo,Texas,2304,US-Mexico Border,Jul 2020,Pedestrians,86892,27.500,-99.507,POINT (-99.507412 27.499561)
Opheim,Montana,3317,US-Canada Border,Sep 2018,Personal Vehicle Passengers,472,49.000,-106.378,POINT (-106.377583 48.999527)
Frontier,Washington,3020,US-Canada Border,May 2019,Pedestrians,6,49.000,-117.832,POINT (-117.831527 49.0005)
Eastport,Idaho,3302,US-Canada Border,Jul 2017,Truck Containers Loaded,4077,49.001,-116.181,POINT (-116.181027 49.000555)
Eastport,Maine,0103,US-Canada Border,Sep 2018,Bus Passengers,250,44.859,-66.980,POINT (-66.98007566 44.8594395785)
Morgan,Montana,3319,US-Canada Border,Oct 2019,Truck Containers Loaded,3,49.000,-107.832,POINT (-107.831819 48.999829)
Sherwood,North Dakota,3414,US-Canada Border,Feb 2018,Trucks,415,48.999,-101.628,POINT (-101.627527 48.999305)
Columbus,New Mexico,2406,US-Mexico Border,Mar 2020,Trucks,487,31.784,-107.628,POINT (-107.627948 31.783742)
Del Bonita,Montana,3322,US-Canada Border,Nov 2018,Truck Containers Empty,23,48.999,-112.788,POINT (-112.78825 48.998555)
Tecate,California,2505,US-Mexico Border,Sep 2018,Truck Containers Empty,2008,32.576,-116.626,POINT (-116.626216 32.576428)
Rio Grande City,Texas,2307,US-Mexico Border,Oct 2018,Personal Vehicle Passengers,73166,26.366,-98.803,POINT (-98.802513 26.365761)
Derby Line,Vermont,0209,US-Canada Border,Sep 2018,Personal Vehicle Passengers,91476,45.006,-72.099,POINT (-72.099279 45.005739)
Tornillo,Texas,2404,US-Mexico Border,Jan 2018,Personal Vehicle Passengers,54529,31.435,-106.143,POINT (-106.142669 31.435334)
Sweetgrass,Montana,3310,US-Canada Border,Mar 2018,Truck Containers Loaded,9604,48.998,-111.960,POINT (-111.959611 48.998388)
Kenneth G Ward,Washington,3023,US-Canada Border,Apr 2018,Pedestrians,122,49.002,-122.485,POINT (-122.485027 49.002277)
Noonan,North Dakota,3420,US-Canada Border,Jul 2017,Personal Vehicles,3111,48.999,-103.004,POINT (-103.004361 48.999333)
Opheim,Montana,3317,US-Canada Border,Aug 2019,Bus Passengers,38,49.000,-106.378,POINT (-106.377583 48.999527)
Columbus,New Mexico,2406,US-Mexico Border,Jul 2019,Truck Containers Loaded,1736,31.784,-107.628,POINT (-107.627948 31.783742)
Douglas,Arizona,2601,US-Mexico Border,Jun 2020,Truck Containers Empty,829,31.334,-109.560,POINT (-109.560344 31.334043)
Ogdensburg,New York,0701,US-Canada Border,Jul 2017,Personal Vehicle Passengers,63427,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Oroville,Washington,3019,US-Canada Border,May 2019,Truck Containers Empty,931,49.000,-119.462,POINT (-119.461833 49.000083)
Madawaska,Maine,0109,US-Canada Border,Nov 2017,Personal Vehicle Passengers,44600,47.360,-68.329,POINT (-68.328684 47.360052)
Vanceboro,Maine,0105,US-Canada Border,Dec 2018,Personal Vehicles,1768,45.569,-67.429,POINT (-67.428541 45.568761)
Turner,Montana,3306,US-Canada Border,Mar 2018,Buses,2,49.000,-108.388,POINT (-108.387916 48.999527)
Roosville,Montana,3318,US-Canada Border,Sep 2019,Pedestrians,18,49.000,-115.056,POINT (-115.056027 48.999638)
Eastport,Maine,0103,US-Canada Border,Nov 2019,Personal Vehicle Passengers,13144,44.859,-66.980,POINT (-66.98007566 44.8594395785)
Portland,Maine,0101,US-Canada Border,Aug 2017,Personal Vehicle Passengers,5669,43.659,-70.243,POINT (-70.243056 43.659444)
Laurier,Washington,3016,US-Canada Border,Feb 2020,Bus Passengers,72,49.000,-118.224,POINT (-118.223777 49.000083)
Westhope,North Dakota,3419,US-Canada Border,Oct 2018,Truck Containers Loaded,645,49.000,-101.017,POINT (-101.017277 48.999611)
Dunseith,North Dakota,3422,US-Canada Border,Mar 2018,Bus Passengers,51,48.999,-100.052,POINT (-100.052166 48.999277)
Bridgewater,Maine,0127,US-Canada Border,Apr 2018,Truck Containers Loaded,104,46.450,-67.785,POINT (-67.78484 46.450335)
Van Buren,Maine,0108,US-Canada Border,May 2019,Bus Passengers,30,47.160,-67.931,POINT (-67.930799 47.159645)
Oroville,Washington,3019,US-Canada Border,Apr 2018,Personal Vehicle Passengers,26319,49.000,-119.462,POINT (-119.461833 49.000083)
Eastport,Idaho,3302,US-Canada Border,Jun 2019,Personal Vehicles,10482,49.001,-116.181,POINT (-116.181027 49.000555)
Nogales,Arizona,2604,US-Mexico Border,Aug 2018,Trucks,17362,31.333,-110.943,POINT (-110.942516 31.332839)
Progreso,Texas,2309,US-Mexico Border,Mar 2019,Trucks,5198,26.062,-97.950,POINT (-97.949958 26.062133)
Roosville,Montana,3318,US-Canada Border,Feb 2018,Pedestrians,6,49.000,-115.056,POINT (-115.056027 48.999638)
International Falls,Minnesota,3604,US-Canada Border,Oct 2019,Trains,356,48.608,-93.401,POINT (-93.401355 48.6078)
Ogdensburg,New York,0701,US-Canada Border,Oct 2018,Personal Vehicle Passengers,46710,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Norton,Vermont,0211,US-Canada Border,Nov 2017,Rail Containers Loaded,772,45.011,-71.793,POINT (-71.793219 45.010771)
Buffalo Niagara Falls,New York,0901,US-Canada Border,Dec 2017,Trucks,67458,43.095,-79.056,POINT (-79.055847 43.09549)
Portal,North Dakota,3403,US-Canada Border,Feb 2018,Personal Vehicle Passengers,7809,48.999,-102.552,POINT (-102.551944 48.998944)
Pembina,North Dakota,3401,US-Canada Border,Aug 2018,Rail Containers Loaded,9956,49.000,-97.237,POINT (-97.237036 49.000453)
Derby Line,Vermont,0209,US-Canada Border,May 2020,Trucks,6461,45.006,-72.099,POINT (-72.099279 45.005739)
Frontier,Washington,3020,US-Canada Border,Mar 2020,Truck Containers Loaded,815,49.000,-117.832,POINT (-117.831527 49.0005)
Alcan,Alaska,3104,US-Canada Border,Dec 2017,Trucks,420,62.615,-141.001,POINT (-141.001444 62.614961)
Lukeville,Arizona,2602,US-Mexico Border,May 2018,Bus Passengers,189,31.880,-112.817,POINT (-112.817077 31.880195)
Fort Kent,Maine,0110,US-Canada Border,Feb 2019,Truck Containers Loaded,148,47.249,-68.604,POINT (-68.603918 47.249206)
Carbury,North Dakota,3421,US-Canada Border,Sep 2017,Truck Containers Empty,121,48.999,-100.556,POINT (-100.555805 48.999416)
Trout River,New York,0715,US-Canada Border,Aug 2017,Truck Containers Empty,1176,44.992,-74.308,POINT (-74.308172 44.992058)
International Falls,Minnesota,3604,US-Canada Border,Mar 2018,Personal Vehicles,26695,48.608,-93.401,POINT (-93.401355 48.6078)
Tecate,California,2505,US-Mexico Border,Feb 2018,Pedestrians,58440,32.576,-116.626,POINT (-116.626216 32.576428)
Buffalo Niagara Falls,New York,0901,US-Canada Border,Jun 2020,Rail Containers Loaded,6444,43.095,-79.056,POINT (-79.055847 43.09549)
Opheim,Montana,3317,US-Canada Border,Oct 2017,Personal Vehicle Passengers,507,49.000,-106.378,POINT (-106.377583 48.999527)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Sep 2017,Truck Containers Empty,585,46.509,-84.361,POINT (-84.360833 46.508611)
Houlton,Maine,0106,US-Canada Border,Jun 2018,Truck Containers Loaded,5921,46.135,-67.781,POINT (-67.781288 46.134879)
Laurier,Washington,3016,US-Canada Border,Jul 2020,Personal Vehicle Passengers,187,49.000,-118.224,POINT (-118.223777 49.000083)
Lukeville,Arizona,2602,US-Mexico Border,Aug 2019,Pedestrians,4701,31.880,-112.817,POINT (-112.817077 31.880195)
St John,North Dakota,3405,US-Canada Border,Sep 2018,Buses,3,48.999,-99.659,POINT (-99.659111 48.999277)
Presidio,Texas,2403,US-Mexico Border,Feb 2018,Trucks,663,29.562,-104.395,POINT (-104.394907 29.561827)
Massena,New York,0704,US-Canada Border,Mar 2018,Personal Vehicle Passengers,124871,44.991,-74.740,POINT (-74.739722 44.990556)
Boundary,Washington,3015,US-Canada Border,Apr 2018,Train Passengers,52,49.001,-117.628,POINT (-117.627583 49.00075)
Richford,Vermont,0203,US-Canada Border,Nov 2019,Personal Vehicles,5347,45.012,-72.589,POINT (-72.588559 45.01174)
Blaine,Washington,3004,US-Canada Border,Oct 2017,Truck Containers Empty,8283,48.994,-122.749,POINT (-122.748884 48.994045)
Detroit,Michigan,3801,US-Canada Border,Jan 2019,Truck Containers Loaded,88366,42.332,-83.048,POINT (-83.047924 42.331685)
Progreso,Texas,2309,US-Mexico Border,Sep 2017,Pedestrians,59775,26.062,-97.950,POINT (-97.949958 26.062133)
Pembina,North Dakota,3401,US-Canada Border,Jun 2019,Buses,61,49.000,-97.237,POINT (-97.237036 49.000453)
Fortuna,North Dakota,3417,US-Canada Border,Oct 2018,Personal Vehicle Passengers,1760,49.000,-103.809,POINT (-103.80925 48.999555)
